,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
669,VM Merchant,1933-1951,10,18,0,859,154,47.72,3,3,2,,IND
670,Basit Ali,1993-1995,19,33,1,858,103,26.81,1,5,5,,PAK
671,JE Taylor,2003-2016,46,73,7,856,106,12.96,1,1,12,,WI
672,D Gough,1994-2003,58,86,18,855,65,12.57,0,2,14,,ENG
673,TG McIntosh,2008-2011,17,33,2,854,136,27.54,2,4,5,,NZ
674,H Trumble,1890-1904,32,57,14,851,70,19.79,0,4,7,,AUS
675,Haris Sohail,2017-2021,16,27,1,847,147,32.57,2,3,1,,PAK
676,CM Old,1972-1981,46,66,9,845,65,14.82,0,2,10,,ENG
677,RGD Willis,1971-1984,90,128,55,840,28*,11.50,0,0,12,,ENG
678,PA Strang,1994-2001,24,41,10,839,106*,27.06,1,2,3,,ZIM
679,GH Vihari,2018-2022,16,28,3,839,111,33.56,1,5,1,,IND
680,SO Hetmyer,2017-2019,16,30,0,838,93,27.93,0,5,0,,WI
681,AM Bacher,1996-1999,19,33,1,833,96,26.03,0,5,3,,SA
682,Soumya Sarkar,2015-2021,16,30,0,831,149,27.70,1,4,2,,BAN
683,RMH Binny,1979-1987,27,41,5,830,83*,23.05,0,5,7,,IND
684,TJ Franklin,1983-1991,21,37,1,828,101,23.00,1,4,2,,NZ
685,JL Denly,2019-2020,15,28,0,827,94,29.53,0,6,0,,ENG
686,KJ Funston,1952-1958,18,33,1,824,92,25.75,0,5,2,,SA
687,SM Warnapura,2007-2009,14,24,1,821,120,35.69,2,7,5,,SL
688,AJ Pithey,1957-1965,17,27,1,819,154,31.50,1,4,2,,SA
689,WW Hall,1958-1969,48,66,14,818,50*,15.73,0,2,7,,WI
690,Khurram Manzoor,2009-2014,16,30,1,817,146,28.17,1,7,3,,PAK
691,J Briggs,1884-1899,33,50,5,815,121,18.11,1,2,10,,ENG
692,SM Curran,2018-2021,24,38,5,815,78,24.69,0,3,7,,ENG
693,AR MacGibbon,1951-1958,26,46,5,814,66,19.85,0,3,7,,NZ
694,TR Veivers,1963-1967,21,30,4,813,88,31.26,0,7,3,,AUS
695,BR Knight,1961-1969,29,38,7,812,127,26.19,2,0,2,,ENG
696,NWD Yardley,1938-1950,20,34,2,812,99,25.37,0,4,2,,ENG
697,SS Iyer,2021-2024,14,24,2,811,105,36.86,1,5,2,,IND
698,AJ Watkins,1948-1952,15,24,4,810,137*,40.50,2,4,2,,ENG
699,Agha Salman,2022-2024,12,23,4,809,132*,42.57,2,6,1,,PAK
700,TR Gripper,1999-2004,20,38,1,809,112,21.86,1,5,5,,ZIM
701,JEC Franklin,2001-2013,31,46,7,808,122*,20.71,1,2,6,,NZ
702,FA Iredale,1894-1899,14,23,1,807,140,36.68,2,4,2,,AUS
703,JR Ratnayeke,1982-1989,22,38,6,807,93,25.21,0,5,5,,SL
704,JW Hearne,1911-1926,24,36,5,806,114,26.00,1,2,3,,ENG
705,MJ Santner,2015-2024,26,35,2,804,126,24.36,1,2,3,,NZ
706,NE Bonner,2021-2022,15,25,4,803,123,38.23,2,3,4,,WI
707,Wazir Mohammad,1952-1959,20,33,4,801,189,27.62,2,3,8,,PAK
708,JM Blackham,1877-1894,35,62,11,800,74,15.68,0,4,6,,AUS
709,Mashrafe Mortaza,2001-2009,36,67,5,797,79,12.85,0,3,12,,BAN
710,GH Hirst,1897-1909,24,38,3,790,85,22.57,0,5,5,,ENG
711,GB Hole,1951-1955,18,33,2,789,66,25.45,0,6,2,,AUS
712,PJ Sharpe,1963-1969,12,21,4,786,111,46.23,1,4,1,,ENG
713,MG Bevan,1994-1998,18,30,3,785,91,29.07,0,6,4,,AUS
714,PR Downton,1981-1988,30,48,8,785,74,19.62,0,4,4,,ENG
715,I Sharma,2007-2021,105,142,47,785,57,8.26,0,1,34,,IND
716,CF Walters,1933-1934,11,18,3,784,102,52.26,1,7,0,,ENG
717,W Mathias,1955-1962,21,36,3,783,77,23.72,0,3,3,,PAK
718,Mohammad Wasim,1996-2000,18,28,2,783,192,30.11,2,2,3,,PAK
719,SFAF Bacchus,1978-1982,19,30,0,782,250,26.06,1,3,7,,WI
720,KK Jennings,2016-2019,17,32,1,781,146*,25.19,2,1,4,,ENG
721,WK Lees,1976-1983,21,37,4,778,152,23.57,1,1,4,,NZ
722,CZ Harris,1992-2002,23,42,4,777,71,20.44,0,5,9,,NZ
723,NRD Compton,2012-2016,16,30,3,775,117,28.70,2,2,3,,ENG
724,RWT Key,2002-2005,15,26,1,775,221,31.00,1,3,2,,ENG
725,JM How,2006-2009,19,35,1,772,92,22.70,0,4,4,,NZ
726,JA Snow,1965-1976,49,71,14,772,73,13.54,0,2,17,,ENG
727,DAJ Holford,1966-1977,24,39,5,768,105*,22.58,1,3,3,,WI
728,SK Raina,2010-2015,18,31,2,768,120,26.48,1,7,8,,IND
729,A Turner,1975-1977,14,27,1,768,136,29.53,1,3,2,,AUS
730,AME Roberts,1974-1983,47,62,11,762,68,14.94,0,3,6,,WI
731,AJ Hall,2002-2007,21,33,4,760,163,26.20,1,3,7,,SA
732,TA Boult,2011-2022,78,94,46,759,52*,15.81,0,1,13,,NZ
733,Sami Aslam,2015-2017,13,25,1,758,91,31.58,0,7,0,,PAK
734,LE Favell,1954-1961,19,31,3,757,101,27.03,1,5,2,,AUS
735,HD Rutherford,2013-2015,16,29,1,755,171,26.96,1,1,2,,NZ
736,Mohammad Amir,2009-2019,36,67,11,751,48,13.41,0,0,7,,PAK
737,GOB Allen,1930-1948,25,33,2,750,122,24.19,1,3,1,,ENG
738,Mohammed Shami,2013-2023,64,89,27,750,56*,12.09,0,2,18,,IND
739,S Venkataraghavan,1965-1983,57,76,12,748,64,11.68,0,2,13,,IND
740,Nasim-ul-Ghani,1958-1973,29,50,5,747,101,16.60,1,2,8,,PAK
741,R Abel,1888-1902,13,22,2,744,132*,37.20,2,2,1,,ENG
742,SJ Harmison,2002-2009,63,86,23,743,49*,11.79,0,0,21,,ENG/ICC
743,GAR Lock,1952-1968,49,63,9,742,89,13.74,0,3,8,,ENG
744,PL Symcox,1993-1998,20,27,1,741,108,28.50,1,4,1,,SA
745,RS Modi,1946-1952,10,17,1,736,112,46.00,1,6,0,,IND
746,EAS Prasanna,1962-1978,49,84,20,735,37,11.48,0,0,15,,IND
747,MA Wood,2015-2024,32,54,9,735,52,16.33,0,1,6,,ENG
748,FR Brown,1931-1953,22,30,1,734,79,25.31,0,5,1,,ENG
749,RW Morgan,1965-1972,20,34,1,734,97,22.24,0,5,5,,NZ
750,JJ Lyons,1887-1897,14,27,0,731,134,27.07,1,3,1,,AUS
751,J Arun Lal,1982-1989,16,29,1,729,93,26.03,0,6,1,,IND
752,MD Bell,1998-2008,18,32,2,729,107,24.30,2,3,7,,NZ
753,DJ Nash,1992-2001,32,45,14,729,89*,23.51,0,4,5,,NZ
754,W Barnes,1880-1890,21,33,2,725,134,23.38,1,5,3,,ENG
755,N Deonarine,2005-2013,18,30,2,725,82,25.89,0,5,3,,WI
756,CB van Ryneveld,1951-1958,19,33,6,724,83,26.81,0,3,2,,SA
757,CS Dempster,1930-1933,10,15,4,723,136,65.72,2,5,0,,NZ
758,WW Read,1882-1893,18,27,1,720,117,27.69,1,5,0,,ENG
759,NV Knight,1995-2001,17,30,0,719,113,23.96,1,4,1,,ENG
760,Asim Kamal,2003-2005,12,20,1,717,99,37.73,0,8,2,,PAK
761,AV Bedser,1946-1955,51,71,15,714,79,12.75,0,1,11,,ENG
762,RG Archer,1953-1956,19,30,1,713,128,24.58,1,2,4,,AUS
763,DG Brownlie,2011-2013,14,25,1,711,109,29.62,1,4,3,,NZ
764,JDS Neesham,2014-2017,12,22,1,709,137*,33.76,2,4,2,,NZ
765,D Bishoo,2011-2018,36,61,15,707,45,15.36,0,0,10,,WI
766,VY Richardson,1924-1936,19,30,0,706,138,23.53,1,1,5,,AUS
767,W Bruce,1885-1895,14,26,2,702,80,29.25,0,5,1,,AUS
768,ARS Silva,2017-2019,12,23,3,702,109,35.10,1,5,2,,SL
769,EJG Morgan,2010-2012,16,24,1,700,130,30.43,2,3,4,,ENG
770,M Ntini,1998-2009,101,116,45,699,32*,9.84,0,0,21,,SA
771,EL Dalton,1929-1939,15,24,2,698,117,31.72,2,3,1,,SA
772,WM Darling,1978-1979,14,27,1,697,91,26.80,0,6,1,,AUS
773,DR Pringle,1982-1992,30,50,4,695,63,15.10,0,1,6,,ENG
774,IC Davis,1973-1977,15,27,1,692,105,26.61,1,4,3,,AUS
775,Faheem Ashraf,2018-2023,17,27,1,687,91,26.42,0,4,4,,PAK
776,Hanumant Singh,1964-1969,14,24,2,686,105,31.18,1,5,3,,IND
777,Al Sahariar,2000-2003,15,30,0,683,71,22.76,0,4,2,,BAN
778,CJ Anderson,2013-2016,13,22,1,683,116,32.52,1,4,3,,NZ
779,FL Fane,1906-1910,14,27,1,682,143,26.23,1,3,3,,ENG
780,VA Holder,1969-1979,40,59,11,682,42,14.20,0,0,7,,WI
781,A Bacher,1965-1970,12,22,1,679,73,32.33,0,6,1,,SA
782,JR Thomson,1972-1985,51,73,20,679,49,12.81,0,0,14,,AUS
783,JC Laker,1948-1959,46,63,15,676,63,14.08,0,2,6,,ENG
784,JB Statham,1951-1965,70,87,28,675,38,11.44,0,0,13,,ENG
785,DS Steele,1975-1976,8,16,0,673,106,42.06,1,5,1,,ENG
786,J Garner,1977-1987,58,68,14,672,60,12.44,0,1,17,,WI
787,H Verity,1931-1939,40,44,12,669,66*,20.90,0,3,4,,ENG
788,BA Pocock,1993-1997,15,29,0,665,85,22.93,0,6,4,,NZ
789,JJ Kelly,1896-1905,36,56,17,664,46*,17.02,0,0,7,,AUS
790,DPB Morkel,1927-1932,16,28,1,663,88,24.55,0,4,3,,SA
791,Hannan Sarkar,2002-2004,17,33,0,662,76,20.06,0,5,5,,BAN
792,KD Petersen,2021-2024,14,24,0,661,82,27.54,0,4,0,,SA
793,AB Barath,2009-2012,15,28,0,657,104,23.46,1,4,2,,WI
794,KD Boyce,1971-1976,21,30,3,657,95*,24.33,0,4,4,,WI
795,W Bates,1881-1887,15,26,2,656,64,27.33,0,5,0,,ENG
796,BS Bedi,1966-1979,67,101,28,656,50*,8.98,0,1,20,,IND
797,JFM Morrison,1973-1982,17,29,0,656,117,22.62,1,3,4,,NZ
798,Mushtaq Ahmed,1990-2003,52,72,16,656,59,11.71,0,2,14,,PAK
799,Mansoor Akhtar,1980-1990,19,29,3,655,111,25.19,1,3,4,,PAK
800,C Milburn,1966-1969,9,16,2,654,139,46.71,2,2,1,,ENG
801,JH Wardle,1948-1957,28,41,8,653,66,19.78,0,2,5,,ENG
802,AA Donald,1992-2002,72,94,33,652,37,10.68,0,0,17,,SA
803,HJH Marshall,2000-2006,13,19,2,652,160,38.35,2,2,1,,NZ
804,A Mishra,2008-2016,22,32,2,648,84,21.60,0,4,4,,IND
805,AR Patel,2021-2024,14,22,4,646,84,35.88,0,4,1,,IND
806,MT Renshaw,2016-2023,14,24,2,645,184,29.31,1,3,1,,AUS
807,KJ O'Keeffe,1971-1977,24,34,9,644,85,25.76,0,1,3,,AUS
808,GD McGrath,1993-2007,124,138,51,641,61,7.36,0,1,35,,AUS
809,GS Camacho,1968-1971,11,22,0,640,87,29.09,0,4,1,,WI
810,AFG Griffith,1997-2000,14,27,1,638,114,24.53,1,4,4,,WI
811,YBK Jaiswal,2023-2024,6,11,0,637,209,57.90,2,2,1,,IND
812,LN Constantine,1928-1939,18,33,0,635,90,19.24,0,4,4,,WI
813,IR Bishop,1989-1998,43,63,11,632,48,12.15,0,0,10,,WI
814,SC Cook,2016-2017,11,19,0,632,117,33.26,3,2,3,,SA
815,HG Deane,1924-1931,17,27,2,628,93,25.12,0,3,1,,SA
816,RG Twose,1995-1999,16,27,2,628,94,25.12,0,6,5,,NZ
817,PN Kirsten,1992-1994,12,22,2,626,104,31.30,1,4,2,,SA
818,TW Jarvis,1965-1973,13,22,1,625,182,29.76,1,2,6,,NZ
819,M Kaif,2000-2006,13,22,3,624,148*,32.84,1,3,1,,IND
820,PF Warner,1899-1912,15,28,2,622,132*,23.92,1,3,4,,ENG
821,Fazal Mahmood,1952-1962,34,50,6,620,60,14.09,0,1,10,,PAK
822,JAJ Christy,1929-1932,10,18,0,618,103,34.33,1,5,1,,SA
823,WA Young,2020-2024,14,23,0,618,89,26.86,0,6,1,,NZ
824,UDU Chandana,1999-2005,16,24,1,616,92,26.78,0,2,0,,SL
825,AS Joseph,2016-2024,32,49,0,616,86,12.57,0,2,11,,WI
826,TMK Mawoyo,2011-2016,11,22,1,615,163*,29.28,1,3,2,,ZIM
827,RC Motz,1961-1969,32,56,3,612,60,11.54,0,3,12,,NZ
828,S Mushtaq Ali,1934-1952,11,20,1,612,112,32.21,2,3,1,,IND
829,RWV Robins,1929-1937,19,27,4,612,108,26.60,1,4,4,,ENG
830,JC Watkins,1949-1957,15,27,1,612,92,23.53,0,3,2,,SA
831,CS Baugh,2003-2012,21,36,2,610,68,17.94,0,3,1,,WI
832,PJ Moor,2016-2023,12,24,1,609,83,26.47,0,5,2,,IRE/ZIM
833,MS Harris,2018-2022,14,26,2,607,79,25.29,0,3,0,,AUS
834,PM Pollock,1961-1970,28,41,13,607,75*,21.67,0,2,3,,SA
835,JT Ikin,1946-1955,18,31,2,606,60,20.89,0,3,4,,ENG
836,RJ Harris,2010-2015,27,39,11,603,74,21.53,0,3,2,,AUS
837,RE Foster,1903-1907,8,14,1,602,287,46.30,1,1,1,,ENG
838,DA Murray,1978-1982,19,31,3,601,84,21.46,0,3,3,,WI
839,AG Steel,1880-1888,13,20,3,600,148,35.29,2,0,1,,ENG
840,K Verreynne,2021-2024,16,26,3,600,136*,26.08,1,2,3,,SA
841,BAG Murray,1968-1971,13,26,1,598,90,23.92,0,5,1,,NZ
842,TJE Andrews,1921-1926,16,23,1,592,94,26.90,0,4,0,,AUS
843,Adnan Akmal,2010-2014,21,29,5,591,64,24.62,0,3,2,,PAK
844,RG Barlow,1881-1887,17,30,4,591,62,22.73,0,2,3,,ENG
845,HR Lance,1962-1970,13,22,1,591,70,28.14,0,5,1,,SA
846,V Sibanda,2003-2014,14,28,0,591,93,21.10,0,2,3,,ZIM
847,MD Craig,2014-2016,15,25,9,589,67,36.81,0,3,1,,NZ
848,MHN Walker,1972-1977,34,43,13,586,78*,19.53,0,1,5,,AUS
849,Alok Kapali,2002-2006,17,34,1,584,85,17.69,0,2,6,,BAN
850,Aftab Ahmed,2004-2010,16,31,3,582,82*,20.78,0,1,4,,BAN
851,MP Donnelly,1937-1949,7,12,1,582,206,52.90,1,4,2,,NZ
852,PA Gibb,1938-1946,8,13,0,581,120,44.69,2,3,1,,ENG
853,MLC Foster,1969-1978,14,24,5,580,125,30.52,1,1,0,,WI
854,Umar Gul,2003-2013,47,67,9,577,65*,9.94,0,1,15,,PAK
855,MN Waller,2011-2017,14,28,1,577,72*,21.37,0,4,4,,ZIM
856,A Jadeja,1992-2000,15,24,2,576,96,26.18,0,4,1,,IND
857,RS Bopara,2007-2012,13,19,1,575,143,31.94,3,0,5,,ENG
858,TT Bresnan,2009-2013,23,26,4,575,91,26.13,0,3,3,,ENG
859,AD Hales,2015-2016,11,21,0,573,94,27.28,0,5,0,,ENG
860,CE McLeod,1894-1905,17,29,5,573,112,23.87,1,4,5,,AUS
861,RS Morton,2005-2008,15,27,1,573,70*,22.03,0,4,1,,WI
862,AB Agarkar,1998-2006,26,39,5,571,109*,16.79,1,0,9,,IND
863,SB Doull,1992-2000,32,50,11,570,46,14.61,0,0,10,,NZ
864,E Chigumbura,2004-2014,14,27,0,569,88,21.07,0,4,6,,ZIM
865,GL Jessop,1899-1912,18,26,0,569,104,21.88,1,3,3,,ENG
866,Rahmat Shah,2018-2024,8,16,0,569,102,35.56,1,5,3,,AFG
867,DAJ Bracewell,2011-2023,28,45,4,568,47,13.85,0,0,11,,NZ
868,Mahmudul Hasan Joy,2021-2023,11,20,0,566,137,28.30,1,4,5,,BAN
869,Aamer Malik,1987-1994,14,19,3,565,117,35.31,2,3,3,,PAK
870,Taijul Islam,2014-2023,44,74,11,565,39*,8.96,0,0,12,,BAN
871,EDAS McMorris,1958-1966,13,21,0,564,125,26.85,1,3,1,,WI
872,GO Rabone,1949-1955,12,20,2,562,107,31.22,1,2,0,,NZ
873,T Chanderpaul,2022-2024,10,19,2,560,207*,32.94,1,1,1,,WI
874,Shadman Islam,2018-2022,13,25,1,559,115*,23.29,1,2,3,,BAN
875,CV Grimmett,1925-1936,37,50,10,557,50,13.92,0,1,7,,AUS
876,MF Maharoof,2004-2011,22,34,4,556,72,18.53,0,3,1,,SL
877,GP Wickramasinghe,1991-2001,40,64,5,555,51,9.40,0,1,17,,SL
878,SJE Loxton,1948-1951,12,15,0,554,101,36.93,1,3,1,,AUS
879,SSJ Brooks,2019-2022,13,24,0,553,111,23.04,1,3,3,,WI
880,AG Chipperfield,1934-1938,14,20,3,552,109,32.47,1,2,1,,AUS
881,B Kumar,2013-2018,21,29,4,552,63*,22.08,0,3,4,,IND
882,D Lloyd,1974-1975,9,15,2,552,214*,42.46,1,0,0,,ENG
883,DW Lawrence,2021-2022,11,21,2,551,91,29.00,0,4,5,,ENG
884,S Amarnath,1976-1978,10,18,0,550,124,30.55,1,3,1,,IND
885,M Dillon,1997-2004,38,68,3,549,43,8.44,0,0,26,,WI
886,Iqbal Qasim,1976-1988,50,57,15,549,56,13.07,0,1,10,,PAK
887,JM Vince,2016-2018,13,22,0,548,83,24.90,0,3,2,,ENG
888,IS Sodhi,2013-2023,20,29,4,546,65,21.84,0,4,5,,NZ
889,CB Llewellyn,1896-1912,15,28,1,544,90,20.14,0,4,6,,SA
890,Shoaib Akhtar,1997-2007,46,67,13,544,47,10.07,0,0,11,,PAK
891,WA Hadlee,1937-1951,11,19,1,543,116,30.16,1,2,1,,NZ
892,ML Apte,1952-1953,7,13,2,542,163*,49.27,1,3,1,,IND
893,AG Cremer,2005-2017,19,38,5,540,102*,16.36,1,0,7,,ZIM
894,AU Rashid,2015-2019,19,33,5,540,61,19.28,0,2,3,,ENG
895,P Nissanka,2021-2022,9,15,1,537,103,38.35,1,5,0,,SL
896,LPC Silva,2006-2008,11,17,1,537,152*,33.56,1,2,3,,SL
897,RA Harper,1983-1993,25,32,3,535,74,18.44,0,3,5,,WI
898,RO Collinge,1965-1978,35,50,13,533,68*,14.40,0,2,9,,NZ
899,PL van der Merwe,1963-1967,15,23,2,533,76,25.38,0,3,3,,SA
900,NC Johnson,1998-2000,13,23,1,532,107,24.18,1,4,3,,ZIM
901,HH Pandya,2017-2018,11,18,1,532,108,31.29,1,4,2,,IND
902,S Ranatunga,1994-1997,9,17,1,531,118,33.18,2,2,1,,SL
903,DT Tiripano,2014-2023,16,31,7,531,95,22.12,0,2,5,,ZIM
904,Aminul Islam,2000-2002,13,26,1,530,145,21.20,1,2,3,,BAN
905,CC Griffith,1960-1969,28,42,10,530,54,16.56,0,1,5,,WI
906,DR Hadlee,1969-1978,26,42,5,530,56,14.32,0,1,9,,NZ
907,LJ Tancred,1902-1913,14,26,1,530,97,21.20,0,2,5,,SA
908,MD Stoneman,2017-2018,11,20,1,526,60,27.68,0,5,1,,ENG
909,CL Vincent,1927-1935,25,38,12,526,60,20.23,0,2,4,,SA
910,CS Serjeant,1977-1978,12,23,1,522,124,23.72,1,2,4,,AUS
911,GR Dilley,1979-1989,41,58,19,521,56,13.35,0,2,10,,ENG
912,Shahadat Hossain,2005-2015,38,69,17,521,40,10.01,0,0,10,,BAN
913,Nafees Iqbal,2004-2006,11,22,0,518,121,23.54,1,2,2,,BAN
914,GJ Bonnor,1880-1888,17,30,0,512,128,17.06,1,2,5,,AUS
915,WW Wade,1938-1950,11,19,1,511,125,28.38,1,3,3,,SA
916,WH Scotton,1881-1887,15,25,2,510,90,22.17,0,3,2,,ENG
917,AJY Hopkins,1902-1909,20,33,2,509,43,16.41,0,0,4,,AUS
918,BA Richards,1970-1970,4,7,0,508,140,72.57,2,2,0,,SA
919,Maqsood Ahmed,1952-1955,16,27,1,507,99,19.50,0,2,2,,PAK
920,JT Murray,1961-1967,21,28,5,506,112,22.00,1,2,3,,ENG
921,RO Hinds,2002-2009,15,25,1,505,84,21.04,0,2,1,,WI
922,BJ Hodge,2005-2008,6,11,2,503,203*,55.88,1,2,0,,AUS
923,BK Shepherd,1963-1965,9,14,2,502,96,41.83,0,5,1,,AUS
924,Taslim Arif,1980-1980,6,10,2,501,210*,62.62,1,2,1,,PAK
925,MJ Henry,2015-2024,23,29,6,499,72,21.69,0,4,6,,NZ
926,ME Chapple,1953-1966,14,27,1,497,76,19.11,0,3,2,,NZ
927,JB Bolus,1963-1964,7,12,0,496,88,41.33,0,4,0,,ENG
928,W Larkins,1980-1991,13,25,1,493,64,20.54,0,3,6,,ENG
929,ML Page,1930-1937,14,20,0,492,104,24.60,1,2,1,,NZ
930,LR Gibbs,1958-1976,79,109,39,488,25,6.97,0,0,15,,WI
931,Mohammad Sami,2001-2012,36,56,14,487,49,11.59,0,0,8,,PAK
932,A Ward,1893-1895,7,13,0,487,117,37.46,1,3,1,,ENG
933,SJ Benn,2008-2015,26,39,5,486,42,14.29,0,0,7,,WI
934,FR Martin,1928-1931,9,18,1,486,123*,28.58,1,0,1,,WI
935,H Larwood,1926-1933,21,28,3,485,98,19.40,0,2,4,,ENG
936,CE Pellew,1920-1921,10,14,1,484,116,37.23,2,1,0,,AUS
937,GJ Gilmour,1973-1977,15,22,1,483,101,23.00,1,3,3,,AUS
938,PR Sleep,1979-1990,14,21,1,483,90,24.15,0,3,4,,AUS
939,CT Radley,1978-1978,8,10,0,481,158,48.10,2,2,1,,ENG
940,Sabbir Rahman,2016-2018,11,22,2,481,66,24.05,0,4,5,,BAN
941,RH Spooner,1905-1912,10,15,0,481,119,32.06,1,4,2,,ENG
942,BW Yuile,1963-1969,17,33,6,481,64,17.81,0,1,3,,NZ
943,SJ Erwee,2022-2023,10,19,1,479,108,26.61,1,1,2,,SA
944,JED Sealy,1930-1939,11,19,2,478,92,28.11,0,3,2,,WI
945,J Worrall,1885-1899,11,22,3,478,76,25.15,0,5,2,,AUS
946,Ibrahim Zadran,2019-2024,6,12,0,476,114,39.66,1,3,2,,AFG
947,KTGD Prasad,2008-2015,25,39,2,476,47,12.86,0,0,8,,SL
948,JR Hazlewood,2014-2024,68,82,40,475,39,11.30,0,0,12,,AUS
949,LS Darling,1933-1937,12,18,1,474,85,27.88,0,3,2,,AUS
950,A Jackson,1929-1931,8,11,1,474,164,47.40,1,2,1,,AUS
951,MJ Hoggard,2000-2008,67,92,27,473,38,7.27,0,0,19,,ENG
952,TP Horan,1877-1885,15,27,2,471,124,18.84,1,1,3,,AUS
953,SB Bangar,2001-2002,12,18,2,470,100*,29.37,1,3,2,,IND
954,WKM Benjamin,1987-1995,21,26,1,470,85,18.80,0,2,4,,WI
955,JT Brown,1894-1899,8,16,3,470,140,36.15,1,1,2,,ENG
956,JN Crawford,1906-1908,12,23,2,469,74,22.33,0,2,1,,ENG
957,AB Williams,1978-1979,7,12,0,469,111,39.08,2,1,1,,WI
958,TB de Bruyn,2017-2022,13,25,1,468,101,19.50,1,0,2,,SA
959,PM Nevill,2015-2016,17,23,2,468,66,22.28,0,3,1,,AUS
960,BC Strang,1995-2001,26,45,9,465,53,12.91,0,1,8,,ZIM
961,RJ Peterson,2003-2014,15,20,3,464,84,27.29,0,3,2,,SA
962,JM Read,1882-1893,17,29,2,461,57,17.07,0,2,3,,ENG
963,PL Harris,2007-2011,37,48,5,460,46,10.69,0,0,9,,SA
964,PGV van der Bijl,1938-1939,5,9,0,460,125,51.11,1,2,0,,SA
965,UT Yadav,2011-2023,57,68,27,460,31,11.21,0,0,9,,IND
966,CL McCool,1946-1950,14,17,4,459,104*,35.30,1,1,0,,AUS
967,TA Ward,1912-1924,23,42,9,459,64,13.90,0,2,5,,SA
968,VJ Scott,1946-1952,10,17,1,458,84,28.62,0,3,1,,NZ
969,A Cotter,1904-1912,21,37,2,457,45,13.05,0,0,6,,AUS
970,AR Lewis,1972-1973,9,16,2,457,125,32.64,1,3,2,,ENG
971,TE Blain,1986-1994,11,20,3,456,78,26.82,0,2,2,,NZ
972,TM Moody,1989-1992,8,14,0,456,106,32.57,2,3,1,,AUS
973,JM Blanckenberg,1913-1924,18,30,7,455,59,19.78,0,2,2,,SA
974,DAS Gunaratne,2016-2017,6,10,2,455,116,56.87,1,3,1,,SL
975,MD Moxon,1986-1989,10,17,1,455,99,28.43,0,3,2,,ENG
976,BH Pairaudeau,1953-1957,13,21,0,454,115,21.61,1,3,3,,WI
977,BH Valentine,1933-1939,7,9,2,454,136,64.85,2,1,0,,ENG
978,B Wood,1972-1978,12,21,0,454,90,21.61,0,2,1,,ENG
979,AZ Lees,2022-2022,10,19,0,453,67,23.84,0,2,0,,ENG
980,Saeed Ajmal,2009-2014,35,53,12,451,50,11.00,0,1,9,,PAK
981,MA Vermeulen,2002-2014,9,18,0,449,118,24.94,1,2,3,,ZIM
982,WV Raman,1988-1997,11,19,1,448,96,24.88,0,4,4,,IND
983,TR Ambrose,2008-2009,11,16,1,447,102,29.80,1,3,2,,ENG
984,TJ Friend,2001-2004,13,19,4,447,81,29.80,0,3,4,,ZIM
985,JL Hendriks,1962-1969,20,32,8,447,64,18.62,0,2,4,,WI
986,CT Bancroft,2017-2019,10,18,1,446,82*,26.23,0,3,1,,AUS
987,NA Foster,1983-1993,29,45,7,446,39,11.73,0,0,9,,ENG
988,MJ Leach,2018-2024,36,55,21,446,92,13.11,0,1,7,,ENG
989,RJ Bright,1977-1986,25,39,8,445,33,14.35,0,0,6,,AUS
990,MS Kasprowicz,1996-2006,38,54,12,445,25,10.59,0,0,7,,AUS
991,KNM Fernando,2023-2024,6,10,1,444,205,49.33,1,1,0,,SL
992,CD Cumming,2005-2008,11,19,2,441,74,25.94,0,1,1,,NZ
993,Mohammad Ilyas,1964-1969,10,19,0,441,126,23.21,1,2,1,,PAK
994,Asghar Afghan,2018-2021,6,10,0,440,164,44.00,1,3,1,,AFG
995,JW Guy,1955-1961,12,23,2,440,102,20.95,1,3,3,,NZ
996,Nurul Hasan,2017-2023,11,21,1,440,64,22.00,0,3,5,,BAN
997,H Hameed,2016-2022,10,19,1,439,82,24.38,0,4,4,,ENG
998,RM Hogg,1978-1984,38,58,13,439,52,9.75,0,1,14,,AUS
999,WM Wallace,1937-1953,13,21,0,439,66,20.90,0,5,0,,NZ
1000,A Chopra,2003-2004,10,19,0,437,60,23.00,0,2,1,,IND
1001,Saleem Elahi,1995-2003,13,24,1,436,72,18.95,0,1,6,,PAK
1002,RJ Ratnayake,1983-1992,23,36,6,433,56,14.43,0,2,5,,SL
1003,KA Jamieson,2020-2024,19,26,4,432,51*,19.63,0,1,3,,NZ
1004,PL Taylor,1987-1991,13,19,3,431,87,26.93,0,2,1,,AUS
1005,AA Mallett,1968-1980,38,50,13,430,43*,11.62,0,0,10,,AUS
1006,AA Baig,1959-1967,10,18,0,428,112,23.77,1,2,1,,IND
1007,SP Jones,1882-1888,12,24,4,428,87,21.40,0,1,3,,AUS
1008,Imran Nazir,1999-2002,8,13,0,427,131,32.84,2,1,3,,PAK
1009,R Peel,1884-1896,20,33,4,427,83,14.72,0,3,8,,ENG
1010,PW Sherwell,1906-1911,13,22,4,427,115,23.72,1,1,1,,SA
1011,DR Tuffey,2000-2010,26,36,10,427,80*,16.42,0,1,6,,NZ
1012,NM Hauritz,2004-2010,17,24,7,426,75,25.05,0,2,1,,AUS
1013,DT Ring,1948-1953,13,21,2,426,67,22.42,0,4,2,,AUS
1014,PK Amre,1992-1993,11,13,3,425,103,42.50,1,3,0,,IND
