,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
139,Saeed Anwar,1990-2001,55,91,2,4052,188*,45.52,11,25,8,,PAK
140,M Labuschagne,2018-2024,48,86,7,4015,215,50.82,11,19,4,,AUS
141,BKG Mendis,2015-2024,61,114,4,3998,245,36.34,9,17,12,,SL
142,M Vijay,2008-2018,61,105,1,3982,167,38.28,12,15,8,,IND
143,Majid Khan,1964-1983,63,106,5,3931,167,38.92,8,19,9,,PAK
144,MN Samuels,2000-2016,71,127,7,3917,260,32.64,7,24,14,,WI
145,Hanif Mohammad,1952-1969,55,97,8,3915,337,43.98,12,15,5,,PAK
146,Babar Azam,2016-2024,52,94,9,3898,196,45.85,9,26,7,,PAK
147,Mominul Haque,2013-2023,59,110,8,3883,181,38.06,12,16,13,,BAN
148,FMM Worrell,1948-1963,51,87,9,3860,261,49.48,9,22,11,,WI
149,A Flintoff,1998-2009,79,130,9,3845,167,31.77,5,26,17,,ENG/ICC
150,IJL Trott,2009-2015,52,93,6,3835,226,44.08,9,19,8,,ENG
151,RJ Shastri,1981-1992,80,121,14,3830,206,35.79,11,12,9,,IND
152,RG Sharma,2013-2024,56,96,10,3827,212,44.50,10,16,5,,IND
153,Imran Khan,1971-1992,88,126,25,3807,136,37.69,6,18,8,,PAK
154,CL Walcott,1948-1960,44,74,7,3798,220,56.68,15,14,1,,WI
155,BJ Watling,2009-2021,75,117,16,3790,205,37.52,8,19,10,,NZ
156,SM Pollock,1995-2008,108,156,39,3781,111,32.31,2,16,9,,SA
157,SR Watson,2005-2015,59,109,3,3731,176,35.19,4,24,6,,AUS
158,WJ Cronje,1992-2000,68,111,9,3714,135,36.41,6,23,11,,SA
159,AG Prince,2002-2011,66,104,16,3665,162*,41.64,11,11,7,,SA
160,SCJ Broad,2007-2023,167,244,41,3662,169,18.03,1,13,39,,ENG
161,Mohammad Hafeez,2003-2018,55,105,8,3652,224,37.64,10,12,8,,PAK
162,Mushtaq Mohammad,1959-1979,57,100,7,3643,201,39.17,10,19,4,,PAK
163,RW Marsh,1970-1984,96,150,13,3633,132,26.51,3,16,12,,AUS
164,DM Jones,1984-1992,52,89,11,3631,216,46.55,11,14,11,,AUS
165,PR Umrigar,1948-1962,59,94,8,3631,223,42.22,12,14,5,,IND
166,DL Amiss,1966-1977,50,88,10,3612,262*,46.30,11,11,10,,ENG
