id	name	nation	era	primaryRole
martin-crowe	Martin Crowe	New Zealand	legends	middle-order
martin-guptill	Martin Guptill	New Zealand	2010s	opener
marvan-atapattu	Marvan Atapattu	Sri Lanka	1990s	opener
matthew-bell	Matthew Bell	New Zealand	2000s	opener
matthew-hayden	Matthew Hayden	Australia	1990s	opener
max-walker	Max Walker	Australia	1970s	all-rounder
michael-atherton	Michael Atherton	England	1990s	opener
michael-clarke	Michael Clarke	Australia	2000s	middle-order
michael-hussey	Michael Hussey	Australia	2000s	middle-order
michael-slater	Michael Slater	Australia	1990s	opener
micheal-vaughan	Micheal Vaughan	England	2000s	middle-order
mike-gatting	Mike Gatting	England	1980s	middle-order
misbah-ul-haq	Misbah-ul-Haq	Pakistan	2000s	middle-order
moeen-ali	Moeen Ali	England	2010s	all-rounder
mohammad-ashraful	Mohammad Ashraful	Bangladesh	2000s	middle-order
mohammad-hafeez	Mohammad Hafeez	Pakistan	2010s	all-rounder
mohammad-rizwan	Mohammad Rizwan	Pakistan	2010s	wicketkeeper
mohammad-yousuf	Mohammad Yousuf	Pakistan	2000s	middle-order
mohd-azharuddin	Mohd. Azharuddin	India	1980s	middle-order
mohinder-amarnath	Mohinder Amarnath	India	1970s	middle-order
mohsin-khan	Mohsin Khan	Pakistan	1980s	opener
moin-khan	Moin Khan	Pakistan	1990s	wicketkeeper
mominul-haque	Mominul Haque	Bangladesh	2010s	middle-order
ms-dhoni	MS Dhoni	India	2000s	wicketkeeper
mudassar-nazar	Mudassar Nazar	Pakistan	1980s	opener
murali-vijay	Murali Vijay	India	2010s	opener
murray-goodwin	Murray Goodwin	Zimbabwe	1990s	opener
mushfiqur-rahim	Mushfiqur Rahim	Bangladesh	2000s	wicketkeeper
mushtaq-mohammad	Mushtaq Mohammad	Pakistan	1970s	all-rounder
najmul-hossain-shanto	Najmul Hossain Shanto	Bangladesh	2020s	middle-order
nasser-hussain	Nasser Hussain	England	1990s	middle-order
nathan-astle	Nathan Astle	New Zealand	1990s	middle-order
navjot-sidhu	Navjot Sidhu	India	1980s	opener
nayan-mongia	Nayan Mongia	India	1990s	wicketkeeper
neil-mckenzie	Neil McKenzie	South Africa	2000s	opener
niroshan-dickwella	Niroshan Dickwella	Sri Lanka	2010s	wicketkeeper
nishan-madushka	Nishan Madushka	Sri Lanka	2020s	opener
ollie-pope	Ollie Pope	England	2020s	middle-order
pathum-nissanka	Pathum Nissanka	Sri Lanka	2020s	opener
paul-collingwood	Paul Collingwood	England	2000s	middle-order
paul-strang	Paul Strang	Zimbabwe	1990s	all-rounder
peter-handscomb	Peter Handscomb	Australia	2010s	middle-order
prasanna-jayawardene	Prasanna Jayawardene	Sri Lanka	2000s	wicketkeeper
prince-masvaure	Prince Masvaure	Zimbabwe	2020s	opener
quinton-de-kock	Quinton de Kock	South Africa	2010s	wicketkeeper
rachin-ravindra	Rachin Ravindra	New Zealand	2020s	middle-order
rahul-dravid	Rahul Dravid	India	legends	middle-order
ramnaresh-sarwan	Ramnaresh Sarwan	West Indies	2000s	middle-order
rashid-latif	Rashid Latif	Pakistan	1990s	wicketkeeper
ravi-shastri	Ravi Shastri	India	1980s	all-rounder
ravichandran-ashwin	Ravichandran Ashwin	India	2010s	all-rounder
ravindra-jadeja	Ravindra Jadeja	India	2010s	all-rounder
regis-chakabva	Regis Chakabva	Zimbabwe	2010s	wicketkeeper
richard-hadlee	Richard Hadlee	New Zealand	legends	all-rounder
rick-mccosker	Rick McCosker	Australia	1970s	opener
ricky-ponting	Ricky Ponting	Australia	legends	middle-order
rishabh-pant	Rishabh Pant	India	2020s	wicketkeeper
robin-smith	Robin Smith	England	1990s	middle-order
rod-marsh	Rod Marsh	Australia	legends	wicketkeeper
rohit-sharma	Rohit Sharma	India	2010s	middle-order
romesh-kaluwitharana	Romesh Kaluwitharana	Sri Lanka	1990s	wicketkeeper
roshan-mahanama	Roshan Mahnama	Sri Lanka	1990s	opener
ross-edwards	Ross Edwards	Australia	1970s	middle-order
ross-taylor	Ross Taylor	New Zealand	2010s	middle-order
roston-chase	Roston Chase	West Indies	2010s	all-rounder
roy-fredericks	Roy Fredericks	West Indies	1970s	opener
ryan rickelton	Ryan Rickelton	South Africa	2020s	opener
sachin-tendulkar	Sachin Tendulkar	India	legends	middle-order
sadeera-samarawickrama	Sadeera Samarawickrama	Sri Lanka	2020s	wicketkeeper
sadiq-mohammad	Sadiq Mohammad	Pakistan	1970s	opener
saeed-anwar	Saeed Anwar	Pakistan	1990s	opener
saleem-malik	Saleem Malik	Pakistan	1980s	middle-order
saleem-yousuf	Saleem Yousuf	Pakistan	1980s	wicketkeeper
salman-ali-agha	Salman Ali Agha	Pakistan	2020s	middle-order
salman-butt	Salman Butt	Pakistan	2000s	opener
sanath-jayasuriya	Sanath Jayasuriya	Sri Lanka	1990s	opener
sandeep-patil	Sandeep Patil	India	1980s	middle-order
sarfraz-ahmed	Sarfraz Ahmed	Pakistan	2010s	wicketkeeper
saud-shakeel	Saud Shakeel	Pakistan	2020s	middle-order
scott-styris	Scott Styris	New Zealand	2000s	middle-order
sean-williams	Sean Williams	Zimbabwe	2010s	all-rounder
shadman-islam	Shadman Islam	Bangladesh	2020s	opener
shahriar-nafees	Shahriar Nafees	Bangladesh	2000s	opener
shai-hope	Shai Hope	West Indies	2010s	middle-order
shakib-al-hasan	Shakib Al Hasan	Bangladesh	legends	all-rounder
shan-masood	Shan Masood	Pakistan	2010s	opener
shane-dowrich	Shane Dowrich	West Indies	2010s	wicketkeeper
sherwin-campbell	Sherwin Campbell	West Indies	1990s	opener
shikhar-dhawan	Shikhar Dhawan	India	2010s	opener
shivnarine-chanderpaul	Shivnarine Chanderpaul	West Indies	1990s	middle-order
shoaib-malik	Shoaib Malik	Pakistan	2000s	all-rounder
shoaib-mohammad	Shoaib Mohammad	Pakistan	1980s	opener
shreyas-iyer	Shreyas Iyer	India	2020s	middle-order
shubman-gill	Shubman Gill	India	2020s	middle-order
sikandar-raza	Sikandar Raza	Zimbabwe	2010s	all-rounder
simon-katich	Simon Katich	Australia	2000s	opener
soumya-sarkar	Soumya Sarkar	Bangladesh	2010s	opener
sourav-ganguly	Sourav Ganguly	India	1990s	middle-order
stephen-fleming	Stephen Fleming	New Zealand	1990s	middle-order
steve-smith	Steve Smith	Australia	2010s	middle-order
steve-waugh	Steve Waugh	Australia	1980s	middle-order
stuart-carlisle	Stuart Carlisle	Zimbabwe	1990s	middle-order
stuart-williams	Stuart Williams	West Indies	1990s	opener
sunil-gavaskar	Sunil Gavaskar	India	legends	opener
tafadzwa-tsiga	Tafadzwa Tsiga	Zimbabwe	2020s	wicketkeeper
tagenarine-chanderpaul	Tagenarine Chanderpaul	West Indies	2020s	opener
tamim-iqbal	Tamim Iqbal	Bangladesh	2000s	opener
tatenda-taibu	Tatenda Taibu	Zimbabwe	2000s	wicketkeeper
taufeeq-umar	Taufeeq Umar	Pakistan	2000s	opener
temba-bavuma	Temba Bavuma	South Africa	2010s	middle-order
thilan-samaraweera	Thilan Samaraweera	Sri Lanka	2000s	middle-order
tillakaratne-dilshan	Tillakaratne Dilshan	Sri Lanka	2000s	opener
tim-paine	Tim Paine	Australia	2010s	wicketkeeper
tim-robinson	Tim Robinson	England	1980s	opener
tino-mawoyo	Tino Mawoyo	Zimbabwe	2010s	opener
tom-blundell	Tom Blundell	New Zealand	2020s	wicketkeeper
tom-latham	Tom Latham	New Zealand	2010s	opener
tony-de-zorzi	Tony de Zorzi	South Africa	2020s	opener
tony-greig	Tony Greig	England	1970s	all-rounder
travis-head	Travis Head	Australia	2020s	middle-order
usman-khawaja	Usman Khawaja	Australia	2010s	middle-order
virat-kohli	Virat Kohli	India	2010s	middle-order
virender-sehwag	Virender Sehwag	India	2000s	opener
viv-richards	Viv Richards	West Indies	legends	middle-order
vusi-sibanda	Vusi Sibanda	Zimbabwe	2000s	opener
vvs-laxman	VVS Laxman	India	1990s	middle-order
washington-sundar 	Washington Sundar 	India	2020s	all-rounder
wasim-bari	Wasim Bari	Pakistan	1970s	wicketkeeper
wasim-jaffer	Wasim Jaffer	India	2000s	opener
wasim-raja	Wasim Raja	Pakistan	1970s	middle-order
wiaan-mulder	Wiaan Mulder	South Africa	2020s	all-rounder
will-young	Will Young	New Zealand	2020s	opener
wriddhiman-saha	Wriddhiman Saha	India	2010s	wicketkeeper
yashasvi-jaiswal 	Yashasvi Jaiswal 	India	2020s	opener
younis-khan	Younis Khan	Pakistan	2000s	middle-order
zaheer-abbas	Zaheer Abbas	Pakistan	1970s	middle-order
zak-crawley	Zak Crawley	England	2020s	opener
zakir-hasan	Zakir Hasan	Bangladesh	2020s	opener
