id	name	nation	era	primaryRole
pramoda-wickramasinghe 	Pramoda Wickramasinghe 	Sri Lanka	1990s	fast-bowler
prosper-utseya	Prosper Utseya	Zimbabwe	2000s	spinner
rahkeem-cornwall	Rahkeem Cornwall	West Indies	2020s	spinner
rajesh-chauhan	Rajesh Chauhan	India	1990s	spinner
ramesh-mendis	Ramesh Mendis	Sri Lanka	2020s	spinner
rangana-herath	Rangana Herath	Sri Lanka	2000s	spinner
ravi-shastri	Ravi Shastri	India	1980s	all-rounder
ravichandran-ashwin	Ravichandran Ashwin	India	2010s	all-rounder
ravindra-jadeja	Ravindra Jadeja	India	2010s	all-rounder
ray-price	Ray Price	Zimbabwe	2000s	spinner
richard-collinge	Richard Collinge	New Zealand	1970s	fast-bowler
richard-hadlee	Richard Hadlee	New Zealand	legends	all-rounder
richard-ngarava	Richard Ngarava	Zimbabwe	2020s	fast-bowler
roston-chase	Roston Chase	West Indies	2010s	all-rounder
rubel-hossain	Rubel Hossain	Bangladesh	2000s	fast-bowler
s-sreesanth	S Sreesanth	India	2000s	fast-bowler
saeed-ajmal	Saeed Ajmal	Pakistan	2010s	spinner
sajid-khan	Sajid Khan	Pakistan	2020s	spinner
saleem-altaf	Saleem Altaf	Pakistan	1970s	fast-bowler
saqlain-mushtaq	Saqlain Mushtaq	Pakistan	1990s	spinner
sarfraz-nawaz	Sarfraz Nawaz	Pakistan	1970s	fast-bowler
scott-boland	Scott Boland	Australia	2020s	fast-bowler
sean-williams	Sean Williams	Zimbabwe	2010s	all-rounder
shahadat-hossain	Shahadat Hossain	Bangladesh	2000s	fast-bowler
shaheen-shah-afridi	Shaheen Shah Afridi	Pakistan	2020s	fast-bowler
shakib-al-hasan	Shakib Al Hasan	Bangladesh	legends	all-rounder
shane-bond	Shane Bond	New Zealand	2000s	fast-bowler
shane-warne	Shane Warne	Australia	legends	spinner
shannon-gabriel	Shannon Gabriel	West Indies	2010s	fast-bowler
shaun-pollock	Shaun Pollock	South Africa	1990s	fast-bowler
shoaib-akhtar	Shoaib Akhtar	Pakistan	2000s	fast-bowler
shoaib-bashir	Shoaib Bashir	England	2020s	spinner
shoaib-malik	Shoaib Malik	Pakistan	2000s	all-rounder
shoriful-islam	Shoriful Islam	Bangladesh	2020s	fast-bowler
sikandar-raza	Sikandar Raza	Zimbabwe	2010s	all-rounder
sikander-bakht	Sikander Bakht	Pakistan	1970s	fast-bowler
simon-doull	Simon Doull	New Zealand	1990s	fast-bowler
simon-harmer	Simon Harmer	South Africa	2020s	spinner
srinivas-venkataraghavan	Srinivas Venkataraghavan	India	1970s	spinner
stephen-boock	Stephen Boock	New Zealand	1980s	spinner
steve-harmison	Steve Harmison	England	2000s	fast-bowler
stuart-broad	Stuart Broad	England	2010s	fast-bowler
stuart-clarke	Stuart Clarke	Australia	2000s	fast-bowler
stuart-macgill	Stuart MacGill	Australia	2000s	spinner
sulieman-benn	Sulieman Benn	West Indies	2000s	spinner
suranga-lakmal	Suranga Lakmal	Sri Lanka	2010s	fast-bowler
sydney-barnes	Sydney Barnes	England	legends	fast-bowler
syed-rasel	Syed Rasel	Bangladesh	2000s	fast-bowler
taijul-islam	Taijul Islam	Bangladesh	2010s	spinner
taskin-ahmed	Taskin Ahmed	Bangladesh	2010s	fast-bowler
tendai-chatara	Tendai Chatara	Zimbabwe	2010s	fast-bowler
terry-alderman	Terry Alderman	Australia	1980s	fast-bowler
tim-southee	Tim Southee	New Zealand	2010s	fast-bowler
tony-greig	Tony Greig	England	1970s	all-rounder
trent-boult	Trent Boult	New Zealand	2010s	fast-bowler
umar-gul	Umar Gul	Pakistan	2000s	fast-bowler
umesh-yadav	Umesh Yadav	India	2010s	fast-bowler
venkatesh-prasad	Venkatesh Prasad	India	1990s	fast-bowler
vernon-philander	Vernon Philander	South Africa	2010s	fast-bowler
victor-nyauchi	Victor Nyauchi	Zimbabwe	2020s	fast-bowler
vishwa-fernando	Vishwa Fernando	Sri Lanka	2010s	fast-bowler
wahab-riaz	Wahab Riaz	Pakistan	2010s	fast-bowler
waqar-younis	Waqar Younis	Pakistan	legends	fast-bowler
washington-sundar 	Washington Sundar 	India	2020s	all-rounder
wasim-akram	Wasim Akram	Pakistan	legends	fast-bowler
wellington-masakadza	Wellington Masakadza	Zimbabwe	2020s	spinner
wiaan-mulder	Wiaan Mulder	South Africa	2020s	all-rounder
will-o'rourke	Will O'Rourke	New Zealand	2020s	fast-bowler
yasir-shah	Yasir Shah	Pakistan	2010s	spinner
zaheer-khan	Zaheer Khan	India	2000s	fast-bowler
